Resume,Category
"Python SQL Pandas NumPy Excel Power BI Data Analysis Data Cleaning Visualization Statistics",Data Analyst
"SQL Tableau Power BI Excel Statistics Reporting Data Cleaning Business Intelligence Dashboards",Data Analyst
"Python Pandas SQL Excel Tableau Data Visualization EDA Reporting Machine Learning Basics",Data Analyst
"Python TensorFlow Keras Deep Learning NLP Machine Learning Flask Scikit-learn",Data Scientist
"Python Machine Learning Scikit-learn Pandas NumPy Statistics Feature Engineering Model Building",Data Scientist
"Python NLP Transformers Deep Learning LLM FastAPI PyTorch Data Preprocessing",Data Scientist
"HTML CSS JavaScript React Bootstrap Responsive Design UI UX Frontend Development",Web Developer
"HTML CSS JavaScript React Tailwind TypeScript Frontend UI Components",Web Developer
"HTML CSS Bootstrap JavaScript Angular Responsive Design Web Development",Web Developer
"Java Spring Boot Hibernate MySQL REST API Backend Development OOP",Java Developer
"Java JDBC Spring Boot Microservices Hibernate MySQL Maven Backend",Java Developer
"Java OOP Collections Exception Handling Spring Boot REST API MySQL",Java Developer
"Python Django Flask REST API PostgreSQL Backend Development Authentication",Python Developer
"Python Flask Django SQLAlchemy PostgreSQL API Development Backend",Python Developer
"Python Django REST Framework Flask PostgreSQL Authentication Deployment",Python Developer
"Python Machine Learning Scikit-learn TensorFlow Deep Learning Model Deployment",ML Engineer
"Python Scikit-learn Pandas NumPy Feature Engineering Model Evaluation Machine Learning",ML Engineer
"TensorFlow Keras Python Machine Learning Deep Learning Neural Networks Deployment",ML Engineer
"React JavaScript Node.js Express MongoDB Full Stack REST API",Full Stack Developer
"React Node.js Express MongoDB JavaScript HTML CSS Full Stack Development",Full Stack Developer
"React TypeScript Node.js Express MongoDB API Integration Full Stack",Full Stack Developer
"Node.js Express MongoDB REST API Authentication Backend JavaScript",Backend Developer
"Java Spring Boot REST API Microservices MySQL Backend Development",Backend Developer
"Python Flask FastAPI PostgreSQL API Backend Authentication Deployment",Backend Developer
"Manual Testing Automation Testing Selenium Test Cases Bug Tracking QA",Testing
"Selenium Java TestNG Automation Testing JUnit Bug Reporting QA",Testing
"Manual Testing SQL Selenium Automation Framework Regression Testing",Testing
"AWS EC2 S3 IAM Linux Docker CI CD DevOps Jenkins",DevOps Engineer
"Docker Kubernetes Jenkins AWS Linux CI CD DevOps Monitoring",DevOps Engineer
"AWS Docker Kubernetes Terraform Jenkins Linux DevOps Automation",DevOps Engineer
"Python OpenCV CNN TensorFlow Image Processing Deep Learning Computer Vision",AI Engineer
"Python PyTorch CNN Computer Vision Image Classification Deep Learning",AI Engineer
"Python NLP LLM LangChain FastAPI Transformers AI Agents Deep Learning",AI Engineer
